sortOrder,id,assetFileName,displayName,category,isHoliday,description,tickerMessage,scheduledOnly,startUnix,endUnix,canRotate,weight,minDaysBetween,idleRewardMultiplier,battleRewardMultiplier,exchangeValueMultiplier,boostedMonsterType,typeDamageMultiplier,effectCount,effect1_kind,effect1_job,effect1_resource,effect1_monsterType,effect1_value,effect1_flag,effect2_kind,effect2_job,effect2_resource,effect2_monsterType,effect2_value,effect2_flag,effect3_kind,effect3_job,effect3_resource,effect3_monsterType,effect3_value,effect3_flag,effect4_kind,effect4_job,effect4_resource,effect4_monsterType,effect4_value,effect4_flag,effect5_kind,effect5_job,effect5_resource,effect5_monsterType,effect5_value,effect5_flag
1,WE-001,WE_001_Gym_Maintenance_Week.asset,Gym Maintenance Week,Job,false,The Gym is unavailable during this world event.,Gym access limited during equipment recalibration.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Gym,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
2,WE-002,WE_002_Gym_Staff_Walkout.asset,Gym Staff Walkout,Job,false,The Gym's output is reduced by 30% during this world event. The Gym's storage cap is reduced by 25% during this world event. Stored rewards at the Gym cannot be collected while this event is active.,Gym staffing disruption reduces training capacity.,false,0,0,true,7,21,1,1,1,None,1,3,JobRateMultiplier,Gym,None,None,0.7,false,JobStorageCapMultiplier,Gym,None,None,0.75,false,JobCollectDisabled,Gym,None,None,0,true,None,None,None,None,0,false,None,None,None,None,0,false
3,WE-003,WE_003_Gym_Training_Boom.asset,Gym Training Boom,Job,false,The Gym's output is increased by 30% during this world event.,Increased Gym activity improves training output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Gym,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
4,WE-004,WE_004_Quarry_Maintenance_Week.asset,Quarry Maintenance Week,Job,false,The Quarry is unavailable during this world event.,Quarry operations paused for safety repairs.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Quarry,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
5,WE-005,WE_005_Quarry_Protest.asset,Quarry Protest,Job,false,The Quarry's output is reduced by 30% during this world event. The Quarry's storage cap is reduced by 25% during this world event.,Quarry disruptions slow extraction and deliveries.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Quarry,None,None,0.7,false,JobStorageCapMultiplier,Quarry,None,None,0.75,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
6,WE-006,WE_006_Quarry_Overhaul_Output.asset,Quarry Overhaul Output,Job,false,The Quarry's output is increased by 30% during this world event.,Quarry upgrades improve extraction output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Quarry,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
7,WE-007,WE_007_Mine_Maintenance_Week.asset,Mine Maintenance Week,Job,false,The Mine is unavailable during this world event.,Mine access restricted for structural inspection.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Mine,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
8,WE-008,WE_008_Mine_Safety_Inspection.asset,Mine Safety Inspection,Job,false,The Mine's output is reduced by 15% during this world event. Working at the Mine generates 35% more fatigue during this world event.,Mine inspection slows output and raises fatigue.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Mine,None,None,0.85,false,JobFatigueRateMultiplier,Mine,None,None,1.35,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
9,WE-009,WE_009_Rich_Vein_Discovered.asset,Rich Vein Discovered,Job,false,The Mine's output is increased by 30% during this world event.,A newly opened vein increases mine output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Mine,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
10,WE-010,WE_010_Power_Plant_Maintenance_Week.asset,Power Plant Maintenance Week,Job,false,The Power Plant is unavailable during this world event.,Power Plant operations paused for scheduled maintenance.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Power_Plant,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
11,WE-011,WE_011_Power_Plant_Audit.asset,Power Plant Audit,Job,false,The Power Plant's output is reduced by 20% during this world event. The Power Plant's storage cap is reduced by 15% during this world event.,A regulatory audit slows output across the Power Plant.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Power_Plant,None,None,0.8,false,JobStorageCapMultiplier,Power_Plant,None,None,0.85,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
12,WE-012,WE_012_Energy_Demand_Spike.asset,Energy Demand Spike,Job,false,The Power Plant's output is increased by 30% during this world event.,Increased demand raises Power Plant output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Power_Plant,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
13,WE-013,WE_013_Grove_Maintenance_Week.asset,Grove Maintenance Week,Job,false,The Grove is unavailable during this world event.,Grove access limited during habitat restoration.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Grove,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
14,WE-014,WE_014_Grove_Preservation_Protest.asset,Grove Preservation Protest,Job,false,The Grove's output is reduced by 30% during this world event. The Grove's storage cap is reduced by 25% during this world event.,Preservation activity reduces Grove harvesting output.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Grove,None,None,0.7,false,JobStorageCapMultiplier,Grove,None,None,0.75,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
15,WE-015,WE_015_Bountiful_Season.asset,Bountiful Season,Job,false,The Grove's output is increased by 30% during this world event.,Seasonal growth increases Grove yields.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Grove,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
16,WE-016,WE_016_Forge_Maintenance_Week.asset,Forge Maintenance Week,Job,false,The Forge is unavailable during this world event.,Forge furnaces offline for repair.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Forge,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
17,WE-017,WE_017_Forge_Labor_Dispute.asset,Forge Labor Dispute,Job,false,The Forge's output is reduced by 30% during this world event. The Forge's storage cap is reduced by 25% during this world event. Stored rewards at the Forge cannot be collected while this event is active.,A Forge staffing dispute reduces output and collection speed.,false,0,0,true,7,21,1,1,1,None,1,3,JobRateMultiplier,Forge,None,None,0.7,false,JobStorageCapMultiplier,Forge,None,None,0.75,false,JobCollectDisabled,Forge,None,None,0,true,None,None,None,None,0,false,None,None,None,None,0,false
18,WE-018,WE_018_Metal_Surplus.asset,Metal Surplus,Job,false,The Forge's output is increased by 30% during this world event.,A material surplus improves Forge output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Forge,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
19,WE-019,WE_019_Workshop_Maintenance_Week.asset,Workshop Maintenance Week,Job,false,The Workshop is unavailable during this world event.,Workshop tools offline for recalibration.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Workshop,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
20,WE-020,WE_020_Workshop_Safety_Drill.asset,Workshop Safety Drill,Job,false,The Workshop's output is reduced by 15% during this world event. Working at the Workshop generates 35% more fatigue during this world event.,Safety drills reduce output and raise fatigue.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Workshop,None,None,0.85,false,JobFatigueRateMultiplier,Workshop,None,None,1.35,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
21,WE-021,WE_021_Workshop_Overdrive.asset,Workshop Overdrive,Job,false,The Workshop's output is increased by 30% during this world event.,Workshop production enters an accelerated cycle.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Workshop,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
22,WE-022,WE_022_Harbor_Maintenance_Week.asset,Harbor Maintenance Week,Job,false,The Harbor is unavailable during this world event.,Harbor access restricted for structural inspection.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Harbor,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
