id,displayName,tickerMessage,category,weight,canRotate,isFlavorOnly,isHoliday,scheduledOnly,startDate,endDate,minWeeksBetween,effects
WE-001,Gym Maintenance Week,"Gym closed for equipment recalibration.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Gym"
WE-002,Gym Staff Walkout,"Gym staff walkout reduces training throughput.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Gym|0.70;JOB_STORAGE_CAP|Gym|0.75;JOB_COLLECT_DISABLED|Gym|true"
WE-003,Gym Training Boom,"Gym attendance surges—training output spikes!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Gym|1.30"
WE-004,Quarry Maintenance Week,"Quarry operations paused for safety repairs.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Quarry"
WE-005,Quarry Protest,"Quarry protest slows extraction and deliveries.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Quarry|0.70;JOB_STORAGE_CAP|Quarry|0.75"
WE-006,Quarry Overhaul Output,"Quarry output rises after a major equipment upgrade!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Quarry|1.30"
WE-007,Mine Maintenance Week,"Mine sealed for structural inspection.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Mine"
WE-008,Mine Safety Inspection,"Mine safety inspection reduces output and increases fatigue.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Mine|0.85;JOB_FATIGUE|Mine|1.35"
WE-009,Rich Vein Discovered,"A rich vein is discovered—mine production surges!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Mine|1.30"
WE-010,Power Plant Maintenance Week,"Power grid offline for scheduled maintenance.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Power_Plant"
WE-011,Power Plant Audit,"Regulatory audit slows output across the plant.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Power_Plant|0.80;JOB_STORAGE_CAP|Power_Plant|0.85"
WE-012,Energy Demand Spike,"Energy demand spikes—Power Plant output increases!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Power_Plant|1.30"
WE-013,Grove Maintenance Week,"Grove access restricted for habitat restoration.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Grove"
WE-014,Grove Preservation Protest,"Preservation protest reduces harvesting throughput.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Grove|0.70;JOB_STORAGE_CAP|Grove|0.75"
WE-015,Bountiful Season,"Bountiful season—Grove yields increase significantly!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Grove|1.30"
WE-016,Forge Maintenance Week,"Forge furnaces offline for repair.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Forge"
WE-017,Forge Labor Dispute,"Forge labor dispute reduces output and slows collection.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Forge|0.70;JOB_STORAGE_CAP|Forge|0.75;JOB_COLLECT_DISABLED|Forge|true"
WE-018,Metal Surplus,"Metal surplus boosts Forge production!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Forge|1.30"
WE-019,Workshop Maintenance Week,"Workshop tools undergoing recalibration.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Workshop"
WE-020,Workshop Safety Drill,"Mandatory safety drills reduce output and increase fatigue.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Workshop|0.85;JOB_FATIGUE|Workshop|1.35"
WE-021,Workshop Overdrive,"Workshop enters production overdrive!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Workshop|1.30"
WE-022,Harbor Maintenance Week,"Harbor closed for structural inspection.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Harbor"
WE-023,Dockworkers Strike,"Dockworkers strike slows shipments.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Harbor|0.70;JOB_STORAGE_CAP|Harbor|0.75;JOB_COLLECT_DISABLED|Harbor|true"
WE-024,Shipping Boom,"International trade surges through the Harbor!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Harbor|1.30"
WE-025,Cryo Lab Maintenance Week,"Cryo containment systems undergoing maintenance.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Cryo_Lab"
WE-026,Cryo Lab Inspection,"Cryo safety inspectors on site—output slows and fatigue rises.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Cryo_Lab|0.85;JOB_FATIGUE|Cryo_Lab|1.35"
WE-027,Cryo Breakthrough,"Cryo Lab breakthrough boosts production!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Cryo_Lab|1.30"
WE-028,Observatory Maintenance Week,"Observatory systems offline for lens calibration.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Observatory"
WE-029,Observatory Protest,"Debate over funding slows Observatory operations.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Observatory|0.70;JOB_STORAGE_CAP|Observatory|0.80"
WE-030,Clear Skies Week,"Clear skies—Observatory output increases!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Observatory|1.30"
WE-031,Containment Maintenance Week,"Containment locked down for system tests.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Containment"
WE-032,Containment Inspection,"Containment protocols tightened—output reduced and fatigue rises.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Containment|0.85;JOB_FATIGUE|Containment|1.35"
WE-033,Containment Efficiency,"Containment efficiencies discovered—output boosted!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Containment|1.30"
WE-034,Wyrm Den Maintenance Week,"Wyrm Den access restricted for reinforcement work.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|WyrmDen"
WE-035,Wyrm Den Unrest,"Wyrm Den unrest reduces throughput and storage capacity.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|WyrmDen|0.70;JOB_STORAGE_CAP|WyrmDen|0.75"
WE-036,Wyrm Activity Surge,"Wyrm activity surge increases yields!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|WyrmDen|1.30"
WE-037,Shadow Market Maintenance Week,"Shadow Market shutters temporarily for 'reorganization'.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Shadow_Market"
WE-038,Shadow Market Crackdown,"Crackdown reduces Shadow Market throughput and storage.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Shadow_Market|0.70;JOB_STORAGE_CAP|Shadow_Market|0.75;JOB_COLLECT_DISABLED|Shadow_Market|true"
WE-039,Black Friday Surge,"Shadow Market demand surges—output increases!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Shadow_Market|1.30"
WE-040,Sanctum Maintenance Week,"Sanctum sealed for ward repairs.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Sanctum"
WE-041,Sanctum Protest,"Internal dispute reduces Sanctum output and storage.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Sanctum|0.70;JOB_STORAGE_CAP|Sanctum|0.75"
WE-042,Sanctum Blessing,"A rare blessing boosts Sanctum output!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Sanctum|1.30"
WE-043,Clinic Maintenance Week,"Clinic systems offline for sterilization overhaul.",Job,3,TRUE,FALSE,FALSE,FALSE,,,6,"JOB_DISABLE|Clinic"
WE-044,Clinic Supply Shortage,"Supply shortage reduces Clinic throughput.",Job,7,TRUE,FALSE,FALSE,FALSE,,,3,"JOB_RATE|Clinic|0.70;JOB_STORAGE_CAP|Clinic|0.80"
WE-045,Public Health Initiative,"Public initiative boosts Clinic productivity!",Job,10,TRUE,FALSE,FALSE,FALSE,,,2,"JOB_RATE|Clinic|1.30"
