ID,Name,Type,Rarity,Spawn Weight,Personality,workProfile,Title Track,Base HP,Base Attack,baseDefense,Base Speed,Hp Regen Per Hour,Fatigue Rate Per Hour,Fatigue Cooldown Hours,Job,Job Skill,Evolution Stage,Evolution Level,Evolution Form Id,Attack Name,Description,,
M-001,Ignirix,Fire,Rare,2,Aggressive,Battle-First,T-268|T-008|T-041|T-055,60,78,22,40,5.7,11,7.2,Forge,1.08,1,0,,Flame Bite,A volatile fire beast that lunges headfirst into battle,burning hot and fast with little regard for defense.,
M-002,Emrix,Fire,Common,8,Aggressive,Battle-First,T-138|T-125,48,56,18,28,4.6,11,7.2,Forge,0.95,1,10,M-003,Ember Snap,A small fire sprite that darts forward with quick,reckless bites of flame.,
M-003,Emrixen,Fire,Uncommon,4.5,Aggressive,Battle-First,T-305|T-001|T-040,54,66,22,28,5.1,11,7.2,Forge,1,2,20,M-004,Flare Claw,Its flames grow steadier and stronger,trading some speed for sharper,burning strikes.
M-004,Pyren,Fire,Rare,2,Aggressive,Battle-First,T-019|T-071|T-161|T-166,60,78,22,40,5.7,11,7.2,Forge,1.08,3,0,,Inferno Rend,A fully ignited fire beast that overwhelms foes with fast,searing assaults.,
M-005,Flaren,Fire,Epic,0.7,Berserker,Battle-First,T-287|T-042|T-269|T-056|T-047,68,96,30,41,6.5,12.9,6.5,Forge,1.15,1,0,,Blaze Crush,A heavily armored fire brute that smashes through enemies with explosive force and relentless heat.,,
M-006,Budrel,Grass,Common,8,Supportive,Routine,T-153|T-170,58,40,34,18,6.4,8.5,7.9,Grove,0.95,1,10,M-007,Leaf Peck,A gentle sprout creature that supports allies while pecking foes with hardened leaves.,,
M-007,Vinel,Grass,Uncommon,4.5,Supportive,Steady,T-009|T-045|T-050,66,46,38,20,7.3,8.5,7.9,Grove,1,2,20,M-008,Vine Lash,Its body thickens with vines,offering stronger protection and steadier healing presence.,
M-008,Flororn,Grass,Rare,2,Guardian,Steady,T-046|T-051|T-087|T-177,74,52,44,30,8.2,8.5,7.9,Grove,1.08,3,0,,Bloom Guard,A mature forest guardian that shields allies and strikes back with controlled,verdant force.,
M-009,Thornel,Grass,Epic,0.7,Guardian,Steady,T-052|T-146|T-387|T-190|T-237,86,62,64,23,9.5,7.2,8.6,Grove,1.15,1,0,,Thorn Break,A hardened forest sentinel that advances slowly,striking with crushing vines and enduring immense punishment.,
M-010,Petorn,Grass,Rare,2,Opportunist,Routine,T-194|T-150|T-236|T-361,62,58,44,36,7,8.5,7.9,Grove,1.08,1,0,,Petal Slash,A swift grass hunter that darts through foliage,striking at openings with sharp petals before retreating.,
